FIPS,State,County,DIRSALES_FARMS12,PCT_LOCLFARM12,PCT_LOCLSALE12,DIRSALES12,PC_DIRSALES12,FMRKT18,FMRKTPTH18,FMRKT_SNAP18,PCT_FMRKT_SNAP18,FMRKT_WIC18,PCT_FMRKT_WIC18,FMRKT_WICCASH18,PCT_FMRKT_WICCASH18,FMRKT_SFMNP18,PCT_FMRKT_SFMNP18,FMRKT_CREDIT18,PCT_FMRKT_CREDIT18,FMRKT_FRVEG18,PCT_FMRKT_FRVEG18,FMRKT_ANMLPROD18,PCT_FMRKT_ANMLPROD18,FMRKT_BAKED18,PCT_FMRKT_BAKED18,FMRKT_OTHERFOOD18,PCT_FMRKT_OTHERFOOD18,VEG_FARMS12,VEG_ACRES12,VEG_ACRESPTH12,FRESHVEG_FARMS12,FRESHVEG_ACRES12,FRESHVEG_ACRESPTH12,ORCHARD_FARMS12,ORCHARD_ACRES12,ORCHARD_ACRESPTH12,BERRY_FARMS12,BERRY_ACRES12,BERRY_ACRESPTH12,SLHOUSE12,GHVEG_FARMS12,GHVEG_SQFT12,GHVEG_SQFTPTH12,FOODHUB18,CSA12,AGRITRSM_OPS12,AGRITRSM_RCT12,FARM_TO_SCHOOL15
37099,NC,Jackson,27,11.02040816,0.91374269,75,1.848884506,4,0.092321187,2,50,0,0,0,0,0,0,3,75,3,75,3,75,3,75,3,75,18,149,5.349439172,14,,,4,6,0.147910761,10,95,2.341920375,0,3,,,,7,12,452000,1
37101,NC,Johnston,99,8.425531915,0.31224192,828,4.736516944,3,0.014802023,0,0,0,0,0,0,0,0,2,66.66666412,2,66.66666412,2,66.66666412,2,66.66666412,2,66.66666412,122,13134,58.29691326,110,9930,56.80388074,32,202,1.155527081,16,27,0.154451639,4,6,105955,606.1082763,,11,10,191000,1
37103,NC,Jones,17,10,0.05388773,100,9.730466089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,,6,,,9,42,4.086795758,1,,,0,1,,,,2,6,16000,1
37105,NC,Lee,21,8.536585366,0.28203062,98,1.650804346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,81,2.459361577,18,81,1.364440327,19,33,0.555883096,16,37,0.623262865,0,2,,,,4,5,6000,0
37107,NC,Lenoir,18,4.488778055,,,,1,0.017864799,1,100,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,12,1269,18.15968347,9,1176,19.88434615,21,300,5.072537283,3,,,0,0,0,0,,2,3,1000,1
37109,NC,Lincoln,69,10.59907834,0.403811413,228,2.887428289,3,0.035812344,2,66.66666412,0,0,0,0,0,0,3,100,3,100,3,100,2,66.66666412,3,100,41,170,6.028139762,41,163,2.064257944,15,52,0.658536276,13,27,0.341932297,1,2,,,,10,15,110000,0
37111,NC,McDowell,30,8.982035928,0.182677416,46,1.022926905,1,0.021974642,1,100,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,26,39,2.001378728,26,38,0.845026574,16,70,1.556627899,6,9,0.200137873,1,4,,,,3,3,,0
37113,NC,Macon,37,11.34969325,4.185881518,236,6.974819719,1,0.028340654,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,21,113,4.728691335,21,101,2.984986405,11,43,1.270835796,12,27,0.797966663,0,0,0,0,,5,15,212000,1
37115,NC,Madison,111,15.43810848,9.200283086,520,24.90660025,3,0.137848645,0,0,0,0,0,0,0,0,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,105,183,9.627358942,99,172,8.238337005,33,36,1.724303094,53,37,1.772200402,0,13,43419,2079.653223,,15,16,130000,
37117,NC,Martin,10,2.801120448,0.019931833,20,0.837100285,2,0.088218428,0,0,0,0,0,0,0,0,1,50,1,50,1,50,1,50,1,50,10,,,10,,,2,,,0,0,0,0,0,0,0,,5,1,,1
37119,NC,Mecklenburg,38,16.03375527,,95,0.098097122,16,0.014626552,2,12.5,0,0,0,0,0,0,12,75,9,56.25,8,50,8,50,8,50,25,108,0.182770428,23,81,0.083640704,4,2,0.002065203,12,14,0.014456418,0,0,0,0,,1,8,,1
37121,NC,Mitchell,38,13.28671329,5.383688228,134,8.715447154,2,0.13333334,0,0,0,0,0,0,0,0,1,50,1,50,1,50,1,50,1,50,30,52,3.577235772,26,45,2.926829268,12,58,3.772357724,10,27,1.756097561,0,0,0,0,,0,7,16000,1
37123,NC,Montgomery,35,14,0.54302047,664,24.01186128,2,0.07333798,0,0,0,0,0,0,0,0,1,50,1,50,1,50,1,50,1,50,24,305,7.70260008,21,290,10.48710809,18,136,4.91809207,4,20,0.723248834,1,2,,,,8,13,14000,1
37125,NC,Moore,79,11.00278552,0.41804939,679,7.51546814,3,0.03040068,0,0,0,0,0,0,0,0,2,66.66666412,2,66.66666412,2,66.66666412,2,66.66666412,2,66.66666412,32,164,2.412919079,32,,,26,269,2.977409322,17,37,0.409532137,1,5,30483,337.3991389,,11,17,31000,1
37127,NC,Nash,37,8.604651163,0.770269757,1420,14.90735394,1,0.010636487,0,0,1,100,0,0,1,100,1,100,1,100,1,100,1,100,1,100,52,11767,111.4797124,41,7422,77.9171697,5,29,0.304445961,7,15,0.157472049,1,3,38090,399.8740224,,0,5,,1
37129,NC,New Hanover,9,18,0.317578928,17,0.081254571,4,0.017221041,0,0,0,0,0,0,0,0,4,100,4,100,4,100,4,100,4,100,9,46,0.114712335,9,46,0.219865309,2,,,1,,,0,0,0,0,1,4,1,,1
37131,NC,Northampton,8,2.507836991,0.012785223,17,0.79800967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,3.755339624,5,75,3.520630897,0,0,0,2,,,0,0,0,0,,0,7,,1
37133,NC,Onslow,30,8.645533141,0.06766044,127,0.691085003,3,0.015175812,1,33.33333206,2,66.66666412,1,33.33333206,3,100,3,100,3,100,2,66.66666412,3,100,3,100,14,239,0.81624213,14,,,9,33,0.179573269,9,24,0.130598741,0,0,0,0,,0,14,125000,1
37135,NC,Orange,120,18.60465116,4.645085421,1422,10.32964798,6,0.041088291,2,33.33333206,4,66.66666412,1,16.66666603,3,50,4,66.66666412,5,83.33333588,5,83.33333588,5,83.33333588,5,83.33333588,77,156,0.573869332,77,153,1.11141782,41,106,0.770001889,44,46,0.334151763,0,12,57436,417.224797,,36,23,123000,1
37137,NC,Pamlico,12,15,0.025106003,9,0.690554746,1,0.078926601,0,0,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,4,,,3,3,0.230184915,8,57,4.373513389,7,8,0.613826441,0,0,0,0,,0,1,,1
37139,NC,Pasquotank,8,5.882352941,0.044911264,31,0.765110941,1,0.025227679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5248,147.7157736,22,2239,55.26075474,0,0,0,0,0,0,0,0,0,0,,0,2,,0
37141,NC,Pender,29,8.656716418,0.065685986,114,2.116127116,1,0.016086999,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,25,291,10.13513514,25,291,5.401692902,10,,,14,743,13.79195129,1,4,7844,145.6043956,1,4,3,,1
37143,NC,Perquimans,9,4.864864865,0.105257831,104,7.68321513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,41.8144208,5,,,2,,,2,,,0,0,0,0,,3,3,2000,1
37145,NC,Person,43,10.88607595,0.931071463,382,9.751614633,1,0.025311969,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,32,55,2.067750747,32,,,16,58,1.480611646,18,15,0.382916805,0,11,28100,717.3308146,,10,13,276000,1
37147,NC,Pitt,24,6.138107417,0.031494896,68,0.393236335,6,0.033349268,1,16.66666603,1,16.66666603,1,16.66666603,1,16.66666603,2,33.33333206,4,66.66666412,2,33.33333206,3,50,2,33.33333206,19,1318,4.371862784,16,145,0.838518656,8,77,0.445282321,7,13,0.075177535,0,0,0,0,1,1,12,,1
37149,NC,Polk,31,10.68965517,,49,2.419872586,2,0.097035564,2,100,0,0,0,0,0,0,2,100,2,100,2,100,2,100,2,100,16,35,1.234628871,16,,,24,181,8.938713023,14,12,0.592621858,0,3,7080,349.6468961,,9,0,0,1
37151,NC,Randolph,74,4.979811575,0.161595993,382,2.685073242,3,0.020927653,0,0,0,0,0,0,0,0,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,0,0,42,335,1.447971434,42,332,2.333623865,26,454,3.191160345,20,21,0.147608738,2,5,53010,372.6066297,,0,26,126000,
37153,NC,Richmond,21,7.581227437,0.04842615,80,1.725997843,1,0.022278165,1,100,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,19,405,13.48435814,19,,,10,78,1.682847896,11,22,0.474649407,0,0,0,0,,2,7,,1
37155,NC,Robeson,58,6.163655685,0.104241176,427,3.154504218,1,0.007585469,0,0,0,0,1,100,1,100,0,0,1,100,1,100,0,0,1,100,44,1455,10.9410322,42,502,3.708574046,32,133,0.982550494,22,16,0.118201563,2,4,20202,149.2442488,,15,12,42000,0
37157,NC,Rockingham,110,12.19512195,1.082185099,355,3.828814254,4,0.044106297,3,75,1,25,1,25,0,0,3,75,3,75,3,75,3,75,3,75,73,153,2.060009923,71,134,1.445242563,36,133,1.434457171,50,85,0.916758343,1,6,16020,172.7819841,,14,19,138000,
37159,NC,Rowan,101,9.990108803,0.701349115,589,4.273039226,4,0.028316179,1,25,1,25,0,0,0,0,4,100,4,100,4,100,2,50,3,75,46,660,7.682764925,46,,,40,107,0.776256702,31,73,0.529595694,1,1,,,1,14,15,,
37161,NC,Rutherford,73,11.44200627,0.539260818,123,1.830275434,3,0.044892706,0,0,1,33.33333206,0,0,1,33.33333206,2,66.66666412,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,47,161,2.767733583,45,145,2.157641772,9,115,1.711233129,25,12,0.178563457,2,2,,,,6,15,71000,0
37163,NC,Sampson,44,4.12371134,0.031935354,402,6.290981362,1,0.015716845,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,116,16115,234.2373359,110,14409,225.489429,22,248,3.881003427,32,1107,17.32367256,2,5,,,,5,9,130000,1
37165,NC,Scotland,6,4,0.019470642,16,0.442734995,1,0.028727377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,2.075320291,10,26,0.719444368,6,123,3.403525277,3,,,0,2,,,,2,7,,0
37167,NC,Stanly,56,8.43373494,0.321193597,310,5.124305739,2,0.03221909,1,50,1,50,0,0,0,0,2,100,2,100,1,50,1,50,1,50,13,74,0.247950278,13,,,20,77,1.272811426,10,23,0.380190426,4,3,3000,49.59005554,,13,10,108000,0
37169,NC,Stokes,87,9.39524838,0.76025066,239,5.111096854,2,0.043987948,1,50,1,50,0,0,1,50,1,50,1,50,1,50,1,50,1,50,55,272,4.533692607,52,263,5.624345074,34,86,1.839139454,31,31,0.662945617,1,6,5430,116.1224097,,6,11,10000,1
37171,NC,Surry,98,7.802547771,0.283008435,563,7.657363582,4,0.055595707,0,0,0,0,3,75,3,75,4,100,3,75,3,75,3,75,3,75,52,331,3.726674283,51,309,4.202709319,59,646,8.786246668,34,50,0.680050052,0,1,,,1,8,25,243000,1
37173,NC,Swain,10,10.63829787,1.329394387,9,0.638841567,3,0.210600212,0,0,0,0,0,0,0,0,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,23,28,3.549119818,21,26,1.845542306,1,,,1,,,0,0,0,0,,0,3,45000,1
37175,NC,Transylvania,42,19.00452489,3.433033741,699,21.30123419,1,0.029226948,0,0,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,28,273,7.923205851,26,264,8.045101326,10,13,0.396160293,20,12,0.365686424,0,0,0,0,,5,5,44000,1
37177,NC,Tyrrell,6,7.692307692,0.052056221,31,7.493352671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3652,598.9847716,6,217,52.4534687,2,,,0,0,0,0,0,0,0,,0,0,0,0
37179,NC,Union,49,4.62700661,0.047589721,255,1.223919711,2,0.008477882,1,50,1,50,0,0,1,50,2,100,2,100,2,100,2,100,2,100,23,,,23,,,5,15,0.071995277,5,7,0.033597796,4,3,1896,9.100203027,,5,15,575000,1
37181,NC,Vance,14,5.785123967,0.167688216,29,0.643686325,1,0.022430578,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,15,104,2.153019777,15,104,2.308392338,5,12,0.266352962,6,5,0.110980401,1,0,0,0,,1,13,116000,1
37183,NC,Wake,143,18.26309068,1.002406388,654,0.686559393,14,0.012816933,4,28.5714283,4,28.5714283,1,7.142857075,6,42.8571434,12,85.7142868,12,85.7142868,10,71.42857361,12,85.7142868,12,85.7142868,95,1249,1.39936341,90,1127,1.1831077,30,61,0.064036885,33,71,0.074534735,0,3,7640,8.020357431,2,13,24,463000,1
37185,NC,Warren,14,5.46875,0.464118565,119,5.780346821,1,0.050487202,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,10,97,6.023218536,10,,,2,,,5,12,0.582892116,0,2,,,1,0,21,207000,
37187,NC,Washington,5,3.205128205,0.238426095,163,12.8174884,1,0.084324144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2816,272.8630966,9,,,6,25,1.965872454,1,,,0,0,0,0,,1,3,,1
37189,NC,Watauga,61,10.01642036,1.236021189,189,3.631123919,4,0.071498796,1,25,1,25,0,0,1,25,1,25,1,25,1,25,1,25,1,25,57,133,1.498559078,57,130,2.497598463,28,65,1.248799232,18,12,0.23054755,0,6,8634,165.8789625,,21,25,306000,1
37191,NC,Wayne,27,4.795737123,0.083503111,482,3.870988467,1,0.008113722,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,1,100,35,3804,26.00469016,29,2451,19.68421729,15,51,0.409585917,7,,,6,4,32096,257.7660702,,1,3,,1
37193,NC,Wilkes,55,5.658436214,0.24111016,687,9.924160347,1,0.014586402,1,100,1,100,0,0,0,0,1,100,1,100,1,100,1,100,1,100,29,62,0.303358613,29,62,0.895630191,36,338,4.882629108,23,22,0.317804261,1,5,88260,1274.972914,,16,9,395000,1
37195,NC,Wilson,18,6.060606061,0.065133161,117,1.431035115,3,0.036830153,2,66.66666412,0,0,0,0,0,0,3,100,2,66.66666412,2,66.66666412,2,66.66666412,2,66.66666412,39,8443,58.26881444,31,4849,59.30845534,6,30,0.366932081,5,,,1,0,0,0,,1,1,,0
37197,NC,Yadkin,75,7.878151261,0.126734579,158,4.1453496,3,0.079908371,0,0,0,0,0,0,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,1,33.33333206,27,43,2.728584547,27,38,0.996982815,41,239,6.27049718,23,30,0.787091696,1,7,26080,684.2450479,,7,10,,1
37199,NC,Yancey,53,11.77777778,2.908900888,167,9.480556344,1,0.055856559,1,100,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,54,131,7.266534204,50,111,6.30144763,8,24,1.362475163,18,12,0.681237582,0,11,24624,1397.899517,1,9,27,1421000,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.618398637
